year,impact_area,Fdescript,Fund_DAmt
2013,Education,Designated,1e3
2013,Arts,Donor Advised,200
2013,Education,Donor Advised,200
2013,Poverty Alleviation,Donor Advised,200
2013,Education,Unrestricted,2e3
2013,Education,Designated,4700
2013,Education,Designated,1e3
2013,Education,Designated,1e3
2013,Education,Designated,4e3
2013,Poverty Alleviation,Designated,1e4
2013,Education,Designated,1500
2013,Education,Designated,1500
2013,Education,Designated,1500
2013,Education,Designated,1500
2013,Education,Designated,1500
2013,Education,Designated,1500
2013,Education,Designated,3e3
2013,Education,Designated,3e3
2013,Education,Designated,500
2013,Education,Designated,500
2013,Poverty Alleviation,Designated,12e3
2013,Education,Designated,5e3
2013,Poverty Alleviation,Donor Advised,3e3
2013,Education,Donor Advised,3e3
2013,Education,Donor Advised,4670
2013,Education,Donor Advised,2e3
2013,Arts,Designated,6872.89
2013,Education,Donor Advised,800
2013,Poverty Alleviation,Donor Advised,1e3
2013,Poverty Alleviation,Donor Advised,100
2013,Education,Donor Advised,1e3
2013,Arts,Donor Advised,1e3
2013,Poverty Alleviation,Designated,15e3
2013,Arts,Unrestricted,5e3
2013,Poverty Alleviation,Unrestricted,1500
2013,Poverty Alleviation,Donor Advised,500
2013,Arts,Donor Advised,500
2013,Arts,Donor Advised,500
2013,Poverty Alleviation,Designated,3932.23
2013,Poverty Alleviation,Designated,1e4
2013,Poverty Alleviation,Unrestricted,500
2013,Poverty Alleviation,Unrestricted,293
2013,Poverty Alleviation,Unrestricted,190
2013,Poverty Alleviation,Unrestricted,266
2013,Poverty Alleviation,Unrestricted,1202
2013,Poverty Alleviation,Unrestricted,549
2013,Poverty Alleviation,Unrestricted,1500
2013,Poverty Alleviation,Unrestricted,1500
2013,Poverty Alleviation,Unrestricted,409
2013,Poverty Alleviation,Unrestricted,119
2013,Poverty Alleviation,Unrestricted,208
2013,Poverty Alleviation,Unrestricted,1e3
2013,Poverty Alleviation,Field of Interst,264
2013,Poverty Alleviation,Field of Interst,76
2013,Poverty Alleviation,Unrestricted,240
2013,Poverty Alleviation,Unrestricted,500
2013,Poverty Alleviation,Unrestricted,991
2013,Poverty Alleviation,Unrestricted,401
2013,Poverty Alleviation,Unrestricted,238
2013,Poverty Alleviation,Unrestricted,54
2013,Education,Field of Interst,2044
2013,Education,Field of Interst,2956
2013,Education,Field of Interst,5e3
2013,Peace and Human Rights,Field of Interst,146
2013,Peace and Human Rights,Field of Interst,891
2013,Peace and Human Rights,Field of Interst,208
2013,Peace and Human Rights,Field of Interst,755
2013,Arts,Field of Interst,1250
2013,Arts,Field of Interst,2e3
2013,Arts,Field of Interst,1750
2013,Arts,Field of Interst,750
2013,Arts,Field of Interst,2444
2013,Poverty Alleviation,Field of Interst,1800
2013,Education,Unrestricted,2e3
2013,Education,Unrestricted,1907
2013,Education,Unrestricted,1093
2013,Environment and Climate Change,Field of Interst,2355
2013,Poverty Alleviation,Field of Interst,548
2013,Poverty Alleviation,Field of Interst,2702
2013,Poverty Alleviation,Field of Interst,1750
2013,Poverty Alleviation,Field of Interst,1469
2013,Poverty Alleviation,Field of Interst,381
2013,Poverty Alleviation,Unrestricted,650
2013,Arts,Field of Interst,850
2013,Arts,Unrestricted,350
2013,Arts,Field of Interst,5e3
2013,Peace and Human Rights,Field of Interst,1500
2013,Peace and Human Rights,Field of Interst,1500
2013,Poverty Alleviation,Unrestricted,500
2013,Poverty Alleviation,Field of Interst,1100
2013,Poverty Alleviation,Field of Interst,2467
2013,Poverty Alleviation,Unrestricted,412
2013,Poverty Alleviation,Unrestricted,521
2013,Education,Field of Interst,500
2013,Education,Unrestricted,850
2013,Poverty Alleviation,Field of Interst,800
2013,Poverty Alleviation,Field of Interst,1613
2013,Poverty Alleviation,Field of Interst,1e3
2013,Poverty Alleviation,Unrestricted,500
2013,Poverty Alleviation,Unrestricted,274
2013,Poverty Alleviation,Unrestricted,813
2013,Peace and Human Rights,Field of Interst,1750
2013,Education,Field of Interst,238
2013,Education,Unrestricted,500
2013,Education,Unrestricted,826
2013,Education,Unrestricted,1500
2013,Education,Unrestricted,874
2013,Education,Unrestricted,575
2013,Education,Unrestricted,487
2013,Poverty Alleviation,Field of Interst,1e3
2013,Poverty Alleviation,Field of Interst,1e3
2013,Peace and Human Rights,Field of Interst,3080
2013,Environment and Climate Change,Unrestricted,854
2013,Environment and Climate Change,Unrestricted,500
2013,Environment and Climate Change,Unrestricted,205
2013,Environment and Climate Change,Unrestricted,941
2013,Environment and Climate Change,Unrestricted,500
2013,Education,Field of Interst,2620
2013,Education,Unrestricted,500
2013,Education,Field of Interst,1280
2013,Education,Field of Interst,568
2013,Education,Field of Interst,789
2013,Education,Field of Interst,363
2013,Arts,Field of Interst,3850
2013,Poverty Alleviation,Unrestricted,1e3
2013,Poverty Alleviation,Field of Interst,500
2013,Poverty Alleviation,Unrestricted,600
2013,Poverty Alleviation,Unrestricted,637
2013,Poverty Alleviation,Unrestricted,718
2013,Poverty Alleviation,Unrestricted,1e3
2013,Poverty Alleviation,Unrestricted,545
2013,Poverty Alleviation,Field of Interst,1e3
2013,Arts,Field of Interst,350
2013,Arts,Field of Interst,500
2013,Peace and Human Rights,Field of Interst,4e3
2013,Arts,Field of Interst,5e3
2013,Education,Unrestricted,25
2013,Education,Unrestricted,475
2013,Education,Field of Interst,1651
2013,Education,Unrestricted,343
2013,Education,Unrestricted,506
2013,Arts,Field of Interst,1500
2013,Peace and Human Rights,Field of Interst,6655
2013,Peace and Human Rights,Field of Interst,1e3
2013,Peace and Human Rights,Field of Interst,1500
2013,Peace and Human Rights,Field of Interst,500
2013,Peace and Human Rights,Field of Interst,2e3
2013,Education,Unrestricted,2e3
2013,Education,Unrestricted,435
2013,Education,Unrestricted,396
2013,Education,Unrestricted,1069
2013,Education,Unrestricted,78
2013,Education,Field of Interst,500
2013,Education,Unrestricted,450
2013,Education,Unrestricted,72
2013,Education,Field of Interst,1500
2013,Education,Field of Interst,3500
2013,Poverty Alleviation,Field of Interst,1636
2013,Poverty Alleviation,Field of Interst,864
2013,Arts,Field of Interst,800
2013,Arts,Unrestricted,262
2013,Arts,Field of Interst,250
2013,Arts,Unrestricted,500
2013,Arts,Unrestricted,72
2013,Arts,Unrestricted,58
2013,Arts,Field of Interst,58
2013,Arts,Field of Interst,848
2013,Arts,Field of Interst,1888
2013,Arts,Field of Interst,396
2013,Arts,Field of Interst,491
2013,Arts,Field of Interst,1e3
2013,Arts,Field of Interst,377
2013,Peace and Human Rights,Field of Interst,3e3
2013,Education,Unrestricted,1e3
2013,Education,Field of Interst,1349
2013,Education,Unrestricted,500
2013,Education,Unrestricted,151
2013,Poverty Alleviation,Field of Interst,1798
2013,Poverty Alleviation,Field of Interst,202
2013,Arts,Unrestricted,1500
2013,Education,Designated,1e3
2013,Poverty Alleviation,Donor Advised,5e4
2013,Education,Designated,6e3
2013,Poverty Alleviation,Donor Advised,1e4
2013,Education,Designated,2100
2013,Poverty Alleviation,Donor Advised,1e3
2013,Education,Donor Advised,350
2013,Arts,Donor Advised,250
2013,Poverty Alleviation,Donor Advised,1e3
2013,Poverty Alleviation,Donor Advised,500
2013,Poverty Alleviation,Donor Advised,1e3
2013,Education,Donor Advised,250
2013,Peace and Human Rights,Donor Advised,1e3
2013,Poverty Alleviation,Unrestricted,500
2013,Poverty Alleviation,Donor Advised,300
2013,Poverty Alleviation,Donor Advised,1e3
2013,Education,Donor Advised,500
2013,Education,Donor Advised,200
2013,Peace and Human Rights,Donor Advised,1e3
2013,Education,Donor Advised,1e3
2013,Poverty Alleviation,Donor Advised,200
2013,Arts,Donor Advised,50
2013,Environment and Climate Change,Donor Advised,250
2013,Education,Donor Advised,1e3
2013,Poverty Alleviation,Donor Advised,200
2013,Education,Donor Advised,200
2013,Poverty Alleviation,Donor Advised,500
2013,Poverty Alleviation,Donor Advised,200
2013,Poverty Alleviation,Donor Advised,200
2013,Education,Designated,1388.56
2013,Arts,Donor Advised,750
2013,Environment and Climate Change,Donor Advised,750
2013,Arts,Donor Advised,750
2013,Poverty Alleviation,Donor Advised,1e3
2013,Poverty Alleviation,Donor Advised,1e3
2013,Education,Designated,2e3
2013,Education,Designated,8500
2013,Poverty Alleviation,Unrestricted,100
2013,Education,Donor Advised,25e3
2013,Education,Designated,3250
2013,Poverty Alleviation,Donor Advised,100
2013,Poverty Alleviation,Donor Advised,100
2013,Poverty Alleviation,Donor Advised,1e3
2013,Poverty Alleviation,Donor Advised,500
2013,Poverty Alleviation,Donor Advised,12
2013,Poverty Alleviation,Donor Advised,50
2013,Peace and Human Rights,Donor Advised,100
2013,Education,Donor Advised,50
2013,Education,Donor Advised,50
2013,Poverty Alleviation,Donor Advised,30
2013,Poverty Alleviation,Donor Advised,50
2013,Poverty Alleviation,Donor Advised,35
2013,Poverty Alleviation,Donor Advised,20
2013,Education,Donor Advised,5800
2013,Peace and Human Rights,Donor Advised,100
2013,Poverty Alleviation,Donor Advised,50
2013,Poverty Alleviation,Donor Advised,50
2013,Peace and Human Rights,Donor Advised,23
2013,Poverty Alleviation,Donor Advised,50
2013,Peace and Human Rights,Donor Advised,70
2013,Poverty Alleviation,Donor Advised,100
2013,Education,Donor Advised,20
2013,Poverty Alleviation,Donor Advised,100
2013,Education,Designated,7170
2013,Arts,Designated,2797
2013,Environment and Climate Change,Field of Interst,47772
2013,Poverty Alleviation,Designated,35435
2013,Poverty Alleviation,Designated,712
2013,Arts,Designated,208.75
2013,Arts,Designated,208.75
2013,Arts,Designated,208.75
2013,Environment and Climate Change,Designated,208.75
2013,Peace and Human Rights,Donor Advised,1e3
2013,Poverty Alleviation,Donor Advised,4217.89
2013,Education,Donor Advised,4217.89
2013,Education,Donor Advised,4217.88
2013,Poverty Alleviation,Donor Advised,4217.88
2013,Poverty Alleviation,Donor Advised,1e3
2013,Education,Donor Advised,300
2013,Arts,Designated,1e3
2013,Arts,Donor Advised,417
2013,Poverty Alleviation,Unrestricted,3e3
2013,Education,Donor Advised,200
2013,Education,Donor Advised,200
2013,Education,Designated,1062
2013,Education,Designated,1e3
2013,Education,Designated,400
2013,Education,Designated,1798
2013,Education,Designated,369
2013,Poverty Alleviation,Designated,847
2013,Education,Designated,379
2013,Arts,Designated,455
2013,Poverty Alleviation,Designated,1192
2013,Poverty Alleviation,Designated,647
2013,Uncategorized,Donor Advised,1500
2013,Poverty Alleviation,Donor Advised,1500
2014,Poverty Alleviation,Agency/Org.,727
2014,Poverty Alleviation,Agency/Org.,2673
2014,Arts,Agency/Org.,774
2014,Arts,Donor Advised,5e3
2014,Arts,Donor Advised,5e3
2014,Uncategorized,Donor Advised,5e3
2014,Arts,Donor Advised,5e3
2014,Arts,Donor Advised,5e3
2014,Poverty Alleviation,Donor Advised,5e3
2014,Education,Designated,4e3
2014,Education,Designated,1e3
2014,Education,Designated,4e3
2014,Education,Designated,1e3
2014,Education,Donor Advised,5800
2014,Peace and Human Rights,Field of Interst,2500
2014,Poverty Alleviation,Field of Interst,850
2014,Education,Designated,1500
2014,Poverty Alleviation,Donor Advised,2e3
2014,Poverty Alleviation,Designated,15471.65
2014,Poverty Alleviation,Designated,9768.1
2014,Arts,Designated,7955.58
2014,Arts,Donor Advised,1e4
2014,Environment and Climate Change,Donor Advised,5e3
2014,Poverty Alleviation,Donor Advised,1e3
2014,Education,Donor Advised,800
2014,Education,Donor Advised,1e3
2014,Education,Designated,2220
2014,Poverty Alleviation,Donor Advised,100
2014,Poverty Alleviation,Donor Advised,100
2014,Education,Donor Advised,1500
2014,Education,Donor Advised,-300
2014,Environment and Climate Change,Donor Advised,5e3
2014,Poverty Alleviation,Donor Advised,1e4
2014,Education,Designated,1500
2014,Education,Designated,1500
2014,Education,Designated,1500
2014,Education,Designated,1500
2014,Education,Designated,1500
2014,Education,Designated,1500
2014,Education,Designated,3e3
2014,Education,Designated,3e3
2014,Education,Designated,2500
2014,Education,Designated,2500
2014,Education,Designated,2500
2014,Education,Designated,5e3
2014,Poverty Alleviation,Unrestricted,150
2014,Environment and Climate Change,Project,9900
2014,Education,Designated,1e3
2014,Environment and Climate Change,Donor Advised,5e3
2014,Poverty Alleviation,Donor Advised,1e4
2014,Education,Donor Advised,1e4
2014,Poverty Alleviation,Donor Advised,1e4
2014,Poverty Alleviation,Donor Advised,1e4
2014,Poverty Alleviation,Donor Advised,5e3
2014,Education,Donor Advised,300
2014,Arts,Donor Advised,1e3
2014,Education,Designated,500
2014,Arts,Donor Advised,500
2014,Poverty Alleviation,Donor Advised,300
2014,Education,Designated,2500
2014,Poverty Alleviation,Donor Advised,200
2014,Environment and Climate Change,Field of Interst,1500
2014,Environment and Climate Change,Field of Interst,1500
2014,Poverty Alleviation,Unrestricted,2e3
2014,Poverty Alleviation,Donor Advised,5e4
2014,Poverty Alleviation,Unrestricted,15e3
2014,Poverty Alleviation,Designated,3648.73
2014,Education,Designated,3101.74
2014,Poverty Alleviation,Unrestricted,1e3
2014,Poverty Alleviation,Field of Interst,102
2014,Poverty Alleviation,Field of Interst,421
2014,Poverty Alleviation,Unrestricted,396
2014,Poverty Alleviation,Unrestricted,1e3
2014,Poverty Alleviation,Unrestricted,500
2014,Poverty Alleviation,Unrestricted,831
2014,Poverty Alleviation,Unrestricted,750
2014,Poverty Alleviation,Field of Interst,3500
2014,Poverty Alleviation,Field of Interst,1500
2014,Poverty Alleviation,Unrestricted,1e3
2014,Poverty Alleviation,Field of Interst,500
2014,Poverty Alleviation,Unrestricted,500
2014,Poverty Alleviation,Unrestricted,500
2014,Education,Unrestricted,500
2014,Education,Unrestricted,125
2014,Education,Unrestricted,928
2014,Arts,Field of Interst,3e3
2014,Poverty Alleviation,Field of Interst,1200
2014,Poverty Alleviation,Field of Interst,600
2014,Poverty Alleviation,Field of Interst,500
2014,Poverty Alleviation,Field of Interst,250
2014,Poverty Alleviation,Unrestricted,500
2014,Poverty Alleviation,Unrestricted,290
2014,Poverty Alleviation,Field of Interst,553
2014,Poverty Alleviation,Unrestricted,972
2014,Poverty Alleviation,Unrestricted,868
2014,Poverty Alleviation,Unrestricted,1067
2014,Education,Unrestricted,500
2014,Education,Unrestricted,500
2014,Education,Unrestricted,650
2014,Education,Unrestricted,400
2014,Education,Unrestricted,1700
2014,Peace and Human Rights,Field of Interst,3500
2014,Peace and Human Rights,Field of Interst,3e3
2014,Arts,Field of Interst,2500
2014,Arts,Field of Interst,500
2014,Environment and Climate Change,Field of Interst,1e3
2014,Environment and Climate Change,Unrestricted,500
2014,Environment and Climate Change,Field of Interst,270
2014,Environment and Climate Change,Field of Interst,18
2014,Environment and Climate Change,Unrestricted,212
2014,Arts,Unrestricted,500
2014,Arts,Field of Interst,1500
2014,Arts,Field of Interst,648
2014,Arts,Unrestricted,500
2014,Arts,Unrestricted,378
2014,Arts,Unrestricted,500
2014,Arts,Unrestricted,974
2014,Peace and Human Rights,Field of Interst,433
2014,Peace and Human Rights,Field of Interst,4067
2014,Poverty Alleviation,Field of Interst,1e3
2014,Poverty Alleviation,Unrestricted,1e3
2014,Poverty Alleviation,Unrestricted,500
2014,Education,Field of Interst,1040
2014,Arts,Field of Interst,1e3
2014,Arts,Field of Interst,750
2014,Arts,Unrestricted,264
2014,Arts,Unrestricted,172
2014,Arts,Unrestricted,176
2014,Education,Field of Interst,1e3
2014,Education,Field of Interst,253
2014,Education,Field of Interst,1294
2014,Education,Unrestricted,271
2014,Education,Unrestricted,500
2014,Education,Unrestricted,565
2014,Education,Unrestricted,634
2014,Education,Unrestricted,483
2014,Education,Unrestricted,1e3
2014,Education,Unrestricted,566
2014,Education,Unrestricted,204
2014,Education,Unrestricted,300
2014,Education,Unrestricted,1017
2014,Education,Unrestricted,196
2014,Education,Unrestricted,500
2014,Education,Unrestricted,687
2014,Peace and Human Rights,Field of Interst,5e3
2014,Poverty Alleviation,Field of Interst,613
2014,Poverty Alleviation,Field of Interst,2e3
2014,Poverty Alleviation,Field of Interst,500
2014,Poverty Alleviation,Unrestricted,500
2014,Poverty Alleviation,Unrestricted,199
2014,Poverty Alleviation,Unrestricted,508
2014,Poverty Alleviation,Unrestricted,680
2014,Arts,Field of Interst,746
2014,Arts,Unrestricted,500
2014,Arts,Field of Interst,1e3
2014,Arts,Unrestricted,1154
2014,Poverty Alleviation,Field of Interst,1e3
2014,Poverty Alleviation,Unrestricted,500
2014,Poverty Alleviation,Unrestricted,470
2014,Poverty Alleviation,Unrestricted,544
2014,Poverty Alleviation,Unrestricted,204
2014,Poverty Alleviation,Unrestricted,282
2014,Environment and Climate Change,Field of Interst,4950
2014,Arts,Field of Interst,838
2014,Arts,Field of Interst,484
2014,Arts,Field of Interst,2e3
2014,Arts,Unrestricted,350
2014,Arts,Unrestricted,828
2014,Arts,Unrestricted,500
2014,Education,Field of Interst,3514
2014,Education,Field of Interst,950
2014,Peace and Human Rights,Field of Interst,1270
2014,Peace and Human Rights,Field of Interst,871
2014,Peace and Human Rights,Field of Interst,214
2014,Peace and Human Rights,Field of Interst,2645
2014,Peace and Human Rights,Field of Interst,1250
2014,Peace and Human Rights,Field of Interst,1250
2014,Arts,Field of Interst,2500
2014,Arts,Field of Interst,1500
2014,Arts,Field of Interst,2e3
2014,Poverty Alleviation,Field of Interst,2e3
2014,Poverty Alleviation,Field of Interst,1e3
2014,Environment and Climate Change,Field of Interst,3750
2014,Environment and Climate Change,Field of Interst,2481
2014,Education,Field of Interst,2e3
2014,Peace and Human Rights,Field of Interst,4e3
2014,Poverty Alleviation,Field of Interst,1500
2014,Poverty Alleviation,Field of Interst,1500
2014,Arts,Field of Interst,2e3
2014,Environment and Climate Change,Field of Interst,2500
2014,Peace and Human Rights,Field of Interst,3e3
2014,Poverty Alleviation,Field of Interst,500
2014,Poverty Alleviation,Field of Interst,500
2014,Poverty Alleviation,Unrestricted,500
2014,Poverty Alleviation,Unrestricted,525
2014,Poverty Alleviation,Unrestricted,475
2014,Poverty Alleviation,Field of Interst,1e3
2014,Poverty Alleviation,Field of Interst,500
2014,Poverty Alleviation,Unrestricted,500
2014,Poverty Alleviation,Unrestricted,1e3
2014,Poverty Alleviation,Field of Interst,443
2014,Poverty Alleviation,Field of Interst,500
2014,Poverty Alleviation,Unrestricted,546
2014,Poverty Alleviation,Unrestricted,250
2014,Poverty Alleviation,Field of Interst,261
2014,Poverty Alleviation,Field of Interst,500
2014,Arts,Field of Interst,1983
2014,Arts,Field of Interst,397
2014,Arts,Field of Interst,1e3
2014,Arts,Unrestricted,1620
2014,Education,Field of Interst,648
2014,Education,Field of Interst,2352
2014,Poverty Alleviation,Field of Interst,500
2014,Poverty Alleviation,Unrestricted,500
2014,Poverty Alleviation,Field of Interst,500
2014,Poverty Alleviation,Unrestricted,500
2014,Poverty Alleviation,Unrestricted,400
2014,Poverty Alleviation,Unrestricted,697
2014,Poverty Alleviation,Unrestricted,100
2014,Poverty Alleviation,Unrestricted,200
2014,Poverty Alleviation,Unrestricted,853
2014,Poverty Alleviation,Unrestricted,750
2014,Education,Field of Interst,700
2014,Education,Field of Interst,1e3
2014,Poverty Alleviation,Unrestricted,250
2014,Poverty Alleviation,Unrestricted,233
2014,Poverty Alleviation,Unrestricted,304
2014,Poverty Alleviation,Unrestricted,500
2014,Poverty Alleviation,Unrestricted,1213
2014,Poverty Alleviation,Unrestricted,500
2014,Peace and Human Rights,Field of Interst,4e3
2014,Poverty Alleviation,Field of Interst,1e3
2014,Poverty Alleviation,Unrestricted,500
2014,Poverty Alleviation,Unrestricted,243
2014,Poverty Alleviation,Unrestricted,404
2014,Poverty Alleviation,Unrestricted,353
2014,Poverty Alleviation,Donor Advised,1e3
2014,Environment and Climate Change,Donor Advised,1500
2014,Poverty Alleviation,Unrestricted,150
2014,Poverty Alleviation,Unrestricted,500
2014,Education,Designated,1e3
2014,Poverty Alleviation,Donor Advised,1e3
2014,Poverty Alleviation,Donor Advised,100
2014,Poverty Alleviation,Donor Advised,1e3
2014,Poverty Alleviation,Donor Advised,100
2014,Arts,Donor Advised,100
2014,Education,Donor Advised,250
2014,Peace and Human Rights,Donor Advised,1e3
2014,Poverty Alleviation,Donor Advised,100
2014,Education,Donor Advised,1e3
2014,Poverty Alleviation,Donor Advised,200
2014,Arts,Donor Advised,100
2014,Education,Donor Advised,200
2014,Poverty Alleviation,Donor Advised,200
2014,Arts,Donor Advised,500
2014,Arts,Donor Advised,500
2014,Education,Donor Advised,100
2014,Poverty Alleviation,Donor Advised,250
2014,Poverty Alleviation,Donor Advised,250
2014,Poverty Alleviation,Donor Advised,250
2014,Poverty Alleviation,Donor Advised,200
2014,Poverty Alleviation,Donor Advised,50
2014,Poverty Alleviation,Donor Advised,200
2014,Arts,Donor Advised,50
2014,Arts,Donor Advised,403
2014,Education,Donor Advised,1e3
2014,Education,Donor Advised,5042.24
2014,Education,Donor Advised,5042.25
2014,Poverty Alleviation,Donor Advised,5042.25
2014,Public Health,Donor Advised,5042.25
2014,Peace and Human Rights,Donor Advised,100
2014,Education,Donor Advised,50
2014,Education,Donor Advised,350
2014,Peace and Human Rights,Donor Advised,1e3
2014,Arts,Donor Advised,250
2014,Peace and Human Rights,Donor Advised,500
2014,Education,Donor Advised,250
2014,Peace and Human Rights,Donor Advised,70
2014,Poverty Alleviation,Field of Interst,50
2014,Poverty Alleviation,Field of Interst,35
2014,Poverty Alleviation,Field of Interst,20
2014,Poverty Alleviation,Field of Interst,1e3
2014,Poverty Alleviation,Field of Interst,100
2014,Poverty Alleviation,Field of Interst,1e3
2014,Poverty Alleviation,Field of Interst,1e3
2014,Poverty Alleviation,Field of Interst,50
2014,Environment and Climate Change,Field of Interst,55339
2014,Arts,Designated,2750
2014,Education,Designated,3e3
2014,Education,Designated,8200
2014,Education,Designated,9e3
2014,Education,Designated,1e3
2014,Education,Designated,1e3
2014,Education,Designated,3132
2014,Education,Designated,3132
2014,Education,Designated,7264
2014,Poverty Alleviation,Designated,34301.16
2014,Poverty Alleviation,Designated,1081
2014,Poverty Alleviation,Designated,364
2014,Poverty Alleviation,Designated,995
2014,Poverty Alleviation,Designated,1183
2014,Poverty Alleviation,Designated,1352
2014,Arts,Designated,185.25
2014,Arts,Designated,185.25
2014,Arts,Designated,185.25
2014,Environment and Climate Change,Designated,185.25
2014,Poverty Alleviation,Designated,761
2014,Poverty Alleviation,Designated,263
2014,Arts,Designated,610
2014,Arts,Designated,610
2014,Arts,Designated,80
2014,Education,Designated,1e3
2014,Poverty Alleviation,Donor Advised,500
2014,Arts,Donor Advised,1e3
2014,Poverty Alleviation,Agency/Org.,723
2014,Poverty Alleviation,Agency/Org.,2692
2014,Poverty Alleviation,Field of Interst,100
2014,Education,Designated,7e3
2014,Education,Donor Advised,200
2014,Public Health,Donor Advised,200
2014,Education,Donor Advised,1500
2014,Education,Designated,442
2014,Education,Designated,858
2014,Poverty Alleviation,Donor Advised,250
2014,Poverty Alleviation,Donor Advised,1120
2015,Education,Donor Advised,1119
2015,Poverty Alleviation,Donor Advised,397
2015,Poverty Alleviation,Unrestricted,3
2015,Arts,Donor Advised,500
2015,Peace and Human Rights,Donor Advised,500
2015,Poverty Alleviation,Donor Advised,1e3
2015,Peace and Human Rights,Donor Advised,1e3
2015,Education,Donor Advised,633
2015,Arts,Donor Advised,5e3
2015,Arts,Donor Advised,5e3
2015,Poverty Alleviation,Donor Advised,5e3
2015,Arts,Donor Advised,5e3
2015,Arts,Donor Advised,5e3
2015,Poverty Alleviation,Donor Advised,5e3
2015,Poverty Alleviation,Donor Advised,5e3
2015,Environment and Climate Change,Donor Advised,5e3
2015,Environment and Climate Change,Donor Advised,5e3
2015,Environment and Climate Change,Donor Advised,5e3
2015,Poverty Alleviation,Donor Advised,1e4
2015,Poverty Alleviation,Donor Advised,1e4
2015,Education,Donor Advised,1e4
2015,Poverty Alleviation,Donor Advised,1e4
2015,Arts,Donor Advised,1e4
2015,Arts,Donor Advised,1e4
2015,Poverty Alleviation,Donor Advised,1e4
2015,Poverty Alleviation,Donor Advised,1e4
2015,Poverty Alleviation,Designated,8643.92
2015,Arts,Designated,8429.96
2015,Environment and Climate Change,Donor Advised,500
2015,Poverty Alleviation,Donor Advised,500
2015,Arts,Unrestricted,750
2015,Environment and Climate Change,Unrestricted,1600
2015,Environment and Climate Change,Unrestricted,400
2015,Poverty Alleviation,Unrestricted,500
2015,Education,Designated,1500
2015,Arts,Donor Advised,800
2015,Education,Designated,378
2015,Education,Designated,1e3
2015,Education,Designated,719
2015,Education,Designated,400
2015,Education,Donor Advised,1e3
2015,Education,Designated,1500
2015,Education,Designated,1500
2015,Education,Designated,1500
2015,Education,Designated,1500
2015,Education,Designated,3e3
2015,Education,Designated,3e3
2015,Education,Designated,1500
2015,Education,Designated,1500
2015,Education,Designated,2500
2015,Education,Designated,2500
2015,Education,Designated,2500
2015,Education,Designated,5400
2015,Education,Designated,5e3
2015,Environment and Climate Change,Donor Advised,200
2015,Arts,Donor Advised,5e3
2015,Poverty Alleviation,Agency/Org.,37600
2015,Peace and Human Rights,Unrestricted,3e3
2015,Education,Designated,1500
2015,Arts,Donor Advised,8e3
2015,Education,Donor Advised,1e3
2015,Education,Designated,500
2015,Arts,Donor Advised,1e4
2015,Poverty Alleviation,Donor Advised,500
2015,Arts,Donor Advised,500
2015,Arts,Designated,5888
2015,Arts,Donor Advised,200
2015,Education,Designated,1e3
2015,Peace and Human Rights,Unrestricted,3e3
2015,Education,Unrestricted,700
2015,Arts,Unrestricted,700
2015,Poverty Alleviation,Unrestricted,700
2015,Poverty Alleviation,Donor Advised,500
2015,Poverty Alleviation,Donor Advised,1665
2015,Education,Donor Advised,520
2015,Education,Donor Advised,250
2015,Uncategorized,Designated,1e3
2015,Arts,Donor Advised,100
2015,Public Health,Donor Advised,500
2015,Poverty Alleviation,Designated,3275.89
2015,Poverty Alleviation,Donor Advised,75
2015,Public Health,Donor Advised,200
2015,Arts,Donor Advised,300
2015,Education,Donor Advised,1509
2015,Environment and Climate Change,Field of Interst,3e3
2015,Arts,Field of Interst,250
2015,Arts,Field of Interst,500
2015,Arts,Field of Interst,350
2015,Arts,Field of Interst,1650
2015,Arts,Field of Interst,250
2015,Peace and Human Rights,Field of Interst,2101
2015,Peace and Human Rights,Field of Interst,899
2015,Education,Unrestricted,1e3
2015,Education,Field of Interst,1e3
2015,Education,Field of Interst,500
2015,Education,Field of Interst,290
2015,Education,Unrestricted,210
2015,Education,Unrestricted,350
2015,Education,Unrestricted,250
2015,Education,Unrestricted,500
2015,Education,Field of Interst,500
2015,Education,Unrestricted,500
2015,Poverty Alleviation,Field of Interst,1500
2015,Poverty Alleviation,Field of Interst,500
2015,Education,Field of Interst,2e3
2015,Education,Field of Interst,500
2015,Environment and Climate Change,Field of Interst,631
2015,Environment and Climate Change,Unrestricted,138
2015,Environment and Climate Change,Field of Interst,1e3
2015,Environment and Climate Change,Field of Interst,1071
2015,Arts,Field of Interst,2e3
2015,Poverty Alleviation,Unrestricted,494
2015,Poverty Alleviation,Unrestricted,494
2015,Poverty Alleviation,Field of Interst,500
2015,Poverty Alleviation,Unrestricted,500
2015,Poverty Alleviation,Unrestricted,384
2015,Poverty Alleviation,Field of Interst,500
2015,Poverty Alleviation,Field of Interst,500
2015,Poverty Alleviation,Unrestricted,628
2015,Poverty Alleviation,Unrestricted,1e3
2015,Poverty Alleviation,Unrestricted,465
2015,Poverty Alleviation,Unrestricted,339
2015,Poverty Alleviation,Unrestricted,211
2015,Poverty Alleviation,Unrestricted,404
2015,Poverty Alleviation,Unrestricted,556
2015,Poverty Alleviation,Unrestricted,525
2015,Poverty Alleviation,Unrestricted,500
2015,Poverty Alleviation,Field of Interst,1e3
2015,Poverty Alleviation,Field of Interst,500
2015,Poverty Alleviation,Field of Interst,673
2015,Poverty Alleviation,Field of Interst,1e3
